Date,Value,Open,High,Low,Vol.,Change %
01/25/2011,1333.75,1334.49,1338.75,1323.05,,-0.07%
01/24/2011,1334.70,1343.25,1353.40,1333.85,,-0.58%
01/21/2011,1342.51,1345.91,1350.70,1337.95,,-0.25%
01/20/2011,1345.85,1370.35,1371.55,1343.00,,-1.78%
01/19/2011,1370.20,1368.10,1379.16,1365.70,,0.18%
01/18/2011,1367.76,1361.45,1376.61,1360.01,,0.37%
01/17/2011,1362.78,1359.53,1366.22,1357.47,,0.07%
01/14/2011,1361.85,1373.35,1378.35,1355.49,,-0.91%
01/13/2011,1374.36,1388.16,1393.61,1370.17,,-0.88%
01/12/2011,1386.50,1381.00,1389.40,1376.65,,0.29%
01/11/2011,1382.45,1374.90,1386.96,1372.90,,0.54%
01/10/2011,1375.05,1369.30,1376.50,1365.64,,0.40%
01/07/2011,1369.60,1372.10,1379.74,1353.30,,-0.13%
01/06/2011,1371.40,1377.95,1380.20,1364.95,,-0.44%
01/05/2011,1377.48,1380.94,1385.73,1364.48,,-0.23%
01/04/2011,1380.60,1414.38,1417.59,1372.38,,-2.38%
01/03/2011,1414.30,1421.30,1424.07,1412.24,,-0.50%
12/31/2010,1421.45,1406.15,1423.15,1405.25,,1.21%
12/30/2010,1404.45,1411.35,1414.95,1402.55,,-0.46%
12/29/2010,1410.95,1405.96,1414.35,1400.75,,0.32%
12/28/2010,1406.39,1383.95,1407.15,1382.45,,1.61%
12/27/2010,1384.10,1384.75,1386.70,1372.75,,-0.05%
12/24/2010,1384.75,1380.55,1386.14,1378.82,,0.32%
12/23/2010,1380.35,1385.05,1388.96,1372.61,,-0.34%
12/22/2010,1385.00,1385.75,1391.20,1382.04,,-0.05%
12/21/2010,1385.74,1385.26,1392.39,1381.16,,0.08%
12/20/2010,1384.65,1376.80,1388.45,1376.24,,0.67%
12/17/2010,1375.41,1371.51,1379.36,1365.05,,0.42%
12/16/2010,1369.70,1380.80,1386.75,1361.75,,-0.73%
12/15/2010,1379.80,1396.05,1397.40,1377.39,,-1.18%
12/14/2010,1396.25,1393.40,1408.10,1392.05,,0.18%
12/13/2010,1393.76,1383.76,1399.44,1380.55,,0.56%
12/10/2010,1386.05,1387.80,1392.55,1372.30,,-0.11%
12/09/2010,1387.64,1382.05,1394.54,1379.68,,0.40%
12/08/2010,1382.10,1401.19,1404.42,1371.85,,-1.41%
12/07/2010,1401.89,1423.45,1431.45,1396.49,,-1.52%
12/06/2010,1423.55,1415.56,1427.51,1409.15,,0.60%
12/03/2010,1415.05,1385.36,1415.91,1383.55,,2.20%
12/02/2010,1384.65,1387.69,1398.60,1382.95,,-0.18%
12/01/2010,1387.10,1385.70,1397.11,1382.15,,0.16%
